18/08/2020	11:00
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	50000.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12576.982	0.336	NaN	0.336	0.333
12581.567	0.353	NaN	0.353	0.337
12581.738	0.341	NaN	0.341	0.337
12579.707	0.351	NaN	0.351	0.328
12571.028	0.368	NaN	0.368	0.331
12574.876	0.366	NaN	0.366	0.336
12586.029	0.374	NaN	0.374	0.328
12578.735	0.298	NaN	0.298	0.326
12581.748	0.337	NaN	0.337	0.337
12576.692	0.333	NaN	0.333	0.334
12581.891	0.339	NaN	0.339	0.337
12583.754	0.301	NaN	0.301	0.330
12582.750	0.294	NaN	0.294	0.335
12578.231	0.286	NaN	0.286	0.327
12578.778	0.303	NaN	0.303	0.326
12583.740	0.297	NaN	0.297	0.330
12576.361	0.360	NaN	0.360	0.336
12583.037	0.290	NaN	0.290	0.334
12579.836	0.363	NaN	0.363	0.329
12581.122	0.373	NaN	0.373	0.335
12578.284	0.300	NaN	0.300	0.327
12578.149	0.292	NaN	0.292	0.327
12578.575	0.301	NaN	0.301	0.326
12571.001	0.364	NaN	0.364	0.331
12580.327	0.363	NaN	0.363	0.331
12574.472	0.335	NaN	0.335	0.334
12581.770	0.347	NaN	0.347	0.337
12582.288	0.308	NaN	0.308	0.337
12579.847	0.344	NaN	0.344	0.329
12576.019	0.369	NaN	0.369	0.337
12579.588	0.347	NaN	0.347	0.328
12578.223	0.292	NaN	0.292	0.327
12579.222	0.353	NaN	0.353	0.327
12583.352	0.293	NaN	0.293	0.332
12574.308	0.325	NaN	0.325	0.333
12582.228	0.306	NaN	0.306	0.337
12581.925	0.328	NaN	0.328	0.337
12579.771	0.355	NaN	0.355	0.329
12580.401	0.372	NaN	0.372	0.332
12584.511	0.337	NaN	0.337	0.327
12579.621	0.352	NaN	0.352	0.328
12579.690	0.353	NaN	0.353	0.328
12579.501	0.346	NaN	0.346	0.327
12585.687	0.371	NaN	0.371	0.327
12582.458	0.314	NaN	0.314	0.336
12575.587	0.373	NaN	0.373	0.337
12582.007	0.329	NaN	0.329	0.337
12575.755	0.373	NaN	0.373	0.337
12579.459	0.337	NaN	0.337	0.327
12586.511	0.353	NaN	0.353	0.331
12578.789	0.293	NaN	0.293	0.326
12576.300	0.356	NaN	0.356	0.336
12578.710	0.298	NaN	0.298	0.326
12576.759	0.316	NaN	0.316	0.334
12580.780	0.380	NaN	0.380	0.334
12578.887	0.298	NaN	0.298	0.326
12581.894	0.344	NaN	0.344	0.337
12581.326	0.351	NaN	0.351	0.336
12579.864	0.331	NaN	0.331	0.329
12576.414	0.345	NaN	0.345	0.335
12582.531	0.303	NaN	0.303	0.336
12577.362	0.298	NaN	0.298	0.331
12578.832	0.304	NaN	0.304	0.326
12582.673	0.299	NaN	0.299	0.336
12578.211	0.294	NaN	0.294	0.327
12579.889	0.358	NaN	0.358	0.329
12581.705	0.341	NaN	0.341	0.337
12580.116	0.368	NaN	0.368	0.330
12582.710	0.289	NaN	0.289	0.335
12582.941	0.291	NaN	0.291	0.334
12580.776	0.375	NaN	0.375	0.334
12583.460	0.292	NaN	0.292	0.332
12586.487	0.354	NaN	0.354	0.331
12584.572	0.350	NaN	0.350	0.327
12577.992	0.286	NaN	0.286	0.328
12581.403	0.352	NaN	0.352	0.336
12581.879	0.340	NaN	0.340	0.337
12580.267	0.375	NaN	0.375	0.331
12576.275	0.350	NaN	0.350	0.336
12579.432	0.323	NaN	0.323	0.327
12576.924	0.315	NaN	0.315	0.333
12586.136	0.366	NaN	0.366	0.329
12576.918	0.319	NaN	0.319	0.333
12582.033	0.319	NaN	0.319	0.337
12574.915	0.369	NaN	0.369	0.336
12578.695	0.304	NaN	0.304	0.326
12578.438	0.291	NaN	0.291	0.326
12583.472	0.291	NaN	0.291	0.332
12581.980	0.328	NaN	0.328	0.337
12574.592	0.350	NaN	0.350	0.334
12580.654	0.375	NaN	0.375	0.333
12582.683	0.291	NaN	0.291	0.336
12577.928	0.292	NaN	0.292	0.328
12575.401	0.373	NaN	0.373	0.337
12578.742	0.302	NaN	0.302	0.326
12575.858	0.374	NaN	0.374	0.337
12580.315	0.361	NaN	0.361	0.331
12580.996	0.377	NaN	0.377	0.335
12581.162	0.373	NaN	0.373	0.336
12581.179	0.362	NaN	0.362	0.336
12580.162	0.375	NaN	0.375	0.331
12581.630	0.344	NaN	0.344	0.337
12579.265	0.339	NaN	0.339	0.327
12578.835	0.296	NaN	0.296	0.326
12580.717	0.371	NaN	0.371	0.334
12582.698	0.292	NaN	0.292	0.335
12576.810	0.322	NaN	0.322	0.334
12582.544	0.288	NaN	0.288	0.336
12576.450	0.334	NaN	0.334	0.335
12581.722	0.359	NaN	0.359	0.337
12583.329	0.293	NaN	0.293	0.332
12580.959	0.377	NaN	0.377	0.335
12572.992	0.292	NaN	0.292	0.327
12580.403	0.374	NaN	0.374	0.332
12577.856	0.285	NaN	0.285	0.328
12584.239	0.313	NaN	0.313	0.328
12579.976	0.362	NaN	0.362	0.330
12583.981	0.301	NaN	0.301	0.329
12581.619	0.347	NaN	0.347	0.337
12588.338	0.286	NaN	0.286	0.337
12577.013	0.332	NaN	0.332	0.333
12575.944	0.367	NaN	0.367	0.337
12577.604	0.295	NaN	0.295	0.329
12579.515	0.345	NaN	0.345	0.328
12579.984	0.356	NaN	0.356	0.330
12572.179	0.308	NaN	0.308	0.326
12578.629	0.300	NaN	0.300	0.326
12583.299	0.287	NaN	0.287	0.333
12574.171	0.325	NaN	0.325	0.332
12574.811	0.349	NaN	0.349	0.335
12581.326	0.370	NaN	0.370	0.336
12574.974	0.371	NaN	0.371	0.336
12579.938	0.359	NaN	0.359	0.329
12585.273	0.373	NaN	0.373	0.326
12573.925	0.311	NaN	0.311	0.331
12577.876	0.285	NaN	0.285	0.328
12579.687	0.327	NaN	0.327	0.328
12573.161	0.287	NaN	0.287	0.327
12575.959	0.370	NaN	0.370	0.337
12573.928	0.305	NaN	0.305	0.331
12576.444	0.346	NaN	0.346	0.335
12578.906	0.312	NaN	0.312	0.326
12576.712	0.332	NaN	0.332	0.334
12585.312	0.358	NaN	0.358	0.326
12582.083	0.316	NaN	0.316	0.337
12576.770	0.335	NaN	0.335	0.334
12578.752	0.296	NaN	0.296	0.326
12574.539	0.347	NaN	0.347	0.334
12583.527	0.304	NaN	0.304	0.331
12580.950	0.371	NaN	0.371	0.335
12581.274	0.350	NaN	0.350	0.336
12579.920	0.370	NaN	0.370	0.329
12576.965	0.326	NaN	0.326	0.333
12584.542	0.334	NaN	0.334	0.327
12582.491	0.310	NaN	0.310	0.336
12576.651	0.333	NaN	0.333	0.334
12589.136	0.315	NaN	0.315	0.335
12578.259	0.293	NaN	0.293	0.327
12585.234	0.355	NaN	0.355	0.326
12579.761	0.359	NaN	0.359	0.329
