18/08/2020	11:00
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	50000.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12574.723	0.341	NaN	0.341	0.335
12586.458	0.283	NaN	0.283	0.331
12584.260	0.366	NaN	0.366	0.328
12583.557	0.372	NaN	0.372	0.331
12579.320	0.365	NaN	0.365	0.327
12591.024	0.298	NaN	0.298	0.326
12586.683	0.288	NaN	0.288	0.332
12588.854	0.371	NaN	0.371	0.336
12584.295	0.362	NaN	0.362	0.328
12579.336	0.359	NaN	0.359	0.327
12585.317	0.319	NaN	0.319	0.326
12577.228	0.302	NaN	0.302	0.331
12579.690	0.355	NaN	0.355	0.328
12583.456	0.368	NaN	0.368	0.332
12585.844	0.309	NaN	0.309	0.328
12581.708	0.284	NaN	0.284	0.337
12579.484	0.350	NaN	0.350	0.327
12580.137	0.336	NaN	0.336	0.330
12577.835	0.329	NaN	0.329	0.328
12586.232	0.291	NaN	0.291	0.329
12580.367	0.325	NaN	0.325	0.332
12582.609	0.307	NaN	0.307	0.336
12582.697	0.330	NaN	0.330	0.335
12581.532	0.290	NaN	0.290	0.337
12583.875	0.372	NaN	0.372	0.329
12590.861	0.296	NaN	0.296	0.327
12581.812	0.298	NaN	0.298	0.337
12585.471	0.324	NaN	0.324	0.327
12583.420	0.371	NaN	0.371	0.332
12582.373	0.316	NaN	0.316	0.336
12578.156	0.365	NaN	0.365	0.327
12580.819	0.297	NaN	0.297	0.334
12586.012	0.295	NaN	0.295	0.328
12588.520	0.357	NaN	0.357	0.337
12580.726	0.312	NaN	0.312	0.334
12580.390	0.325	NaN	0.325	0.332
12581.415	0.288	NaN	0.288	0.336
12578.909	0.374	NaN	0.374	0.326
12589.688	0.354	NaN	0.354	0.332
12590.355	0.322	NaN	0.322	0.329
12583.594	0.379	NaN	0.379	0.331
12582.839	0.330	NaN	0.330	0.335
12587.097	0.310	NaN	0.310	0.334
12578.508	0.374	NaN	0.374	0.326
12580.529	0.309	NaN	0.309	0.333
12583.650	0.376	NaN	0.376	0.331
12579.533	0.360	NaN	0.360	0.328
12580.404	0.303	NaN	0.303	0.332
12587.653	0.300	NaN	0.300	0.336
12577.211	0.303	NaN	0.303	0.332
12586.612	0.288	NaN	0.288	0.331
12576.713	0.290	NaN	0.290	0.334
12584.007	0.372	NaN	0.372	0.329
12585.239	0.320	NaN	0.320	0.326
12578.874	0.373	NaN	0.373	0.326
12590.646	0.308	NaN	0.308	0.327
12585.176	0.331	NaN	0.331	0.326
12584.175	0.371	NaN	0.371	0.328
12580.427	0.311	NaN	0.311	0.332
12585.273	0.331	NaN	0.331	0.326
12586.594	0.290	NaN	0.290	0.331
12581.929	0.300	NaN	0.300	0.337
12584.365	0.357	NaN	0.357	0.327
12583.205	0.360	NaN	0.360	0.333
12586.156	0.294	NaN	0.294	0.329
12579.482	0.358	NaN	0.358	0.327
12582.764	0.343	NaN	0.343	0.335
12582.481	0.332	NaN	0.332	0.336
12583.349	0.354	NaN	0.354	0.332
12589.578	0.371	NaN	0.371	0.333
12585.801	0.300	NaN	0.300	0.328
12586.919	0.299	NaN	0.299	0.333
12583.816	0.374	NaN	0.374	0.330
12581.886	0.301	NaN	0.301	0.337
12586.381	0.290	NaN	0.290	0.330
12581.887	0.305	NaN	0.305	0.337
12578.666	0.374	NaN	0.374	0.326
12590.847	0.295	NaN	0.295	0.327
12587.195	0.299	NaN	0.299	0.335
12585.995	0.301	NaN	0.301	0.328
12584.786	0.365	NaN	0.365	0.326
12580.443	0.322	NaN	0.322	0.332
12583.676	0.376	NaN	0.376	0.331
12587.784	0.334	NaN	0.334	0.337
12581.634	0.294	NaN	0.294	0.337
12581.069	0.294	NaN	0.294	0.335
12588.007	0.339	NaN	0.339	0.337
12585.418	0.343	NaN	0.343	0.326
12583.401	0.357	NaN	0.357	0.332
12581.675	0.289	NaN	0.289	0.337
12582.954	0.345	NaN	0.345	0.334
12580.545	0.315	NaN	0.315	0.333
12586.353	0.291	NaN	0.291	0.330
12591.552	0.286	NaN	0.286	0.326
12585.388	0.335	NaN	0.335	0.326
12586.554	0.291	NaN	0.291	0.331
12592.356	0.300	NaN	0.300	0.329
12580.790	0.302	NaN	0.302	0.334
12583.689	0.370	NaN	0.370	0.330
12574.730	0.356	NaN	0.356	0.335
12588.650	0.375	NaN	0.375	0.336
12582.975	0.342	NaN	0.342	0.334
12585.469	0.313	NaN	0.313	0.327
12584.775	0.353	NaN	0.353	0.326
12578.749	0.376	NaN	0.376	0.326
12577.231	0.316	NaN	0.316	0.331
12582.950	0.345	NaN	0.345	0.334
12587.145	0.299	NaN	0.299	0.334
12588.665	0.371	NaN	0.371	0.336
12579.957	0.344	NaN	0.344	0.330
12581.894	0.294	NaN	0.294	0.337
12575.231	0.336	NaN	0.336	0.337
12580.853	0.306	NaN	0.306	0.334
12580.991	0.292	NaN	0.292	0.335
12579.045	0.380	NaN	0.380	0.326
12581.031	0.304	NaN	0.304	0.335
12584.787	0.353	NaN	0.353	0.326
12578.997	0.374	NaN	0.374	0.326
12580.409	0.332	NaN	0.332	0.332
12579.782	0.354	NaN	0.354	0.329
12582.528	0.331	NaN	0.331	0.336
12584.897	0.351	NaN	0.351	0.326
12580.727	0.308	NaN	0.308	0.334
12580.272	0.333	NaN	0.333	0.331
12589.342	0.374	NaN	0.374	0.334
12585.286	0.331	NaN	0.331	0.326
12582.300	0.313	NaN	0.313	0.337
12580.079	0.338	NaN	0.338	0.330
12580.759	0.303	NaN	0.303	0.334
12586.313	0.291	NaN	0.291	0.330
12587.797	0.328	NaN	0.328	0.337
12587.567	0.321	NaN	0.321	0.336
12594.878	0.360	NaN	0.360	0.337
12582.392	0.328	NaN	0.328	0.336
12580.958	0.296	NaN	0.296	0.335
12583.503	0.363	NaN	0.363	0.331
12592.161	0.299	NaN	0.299	0.328
12587.657	0.326	NaN	0.326	0.336
12586.317	0.288	NaN	0.288	0.330
12582.882	0.343	NaN	0.343	0.335
12587.940	0.350	NaN	0.350	0.337
12584.805	0.353	NaN	0.353	0.326
12578.686	0.377	NaN	0.377	0.326
12585.877	0.315	NaN	0.315	0.328
12591.359	0.291	NaN	0.291	0.326
12579.583	0.364	NaN	0.364	0.328
12583.313	0.362	NaN	0.362	0.333
12585.769	0.317	NaN	0.317	0.327
12594.850	0.370	NaN	0.370	0.337
12584.473	0.350	NaN	0.350	0.327
12587.356	0.314	NaN	0.314	0.335
12586.451	0.289	NaN	0.289	0.331
12589.698	0.371	NaN	0.371	0.332
12584.447	0.378	NaN	0.378	0.327
12576.549	0.293	NaN	0.293	0.335
12584.124	0.371	NaN	0.371	0.328
12589.320	0.366	NaN	0.366	0.334
12576.515	0.293	NaN	0.293	0.335
12588.943	0.367	NaN	0.367	0.336
12581.372	0.296	NaN	0.296	0.336
12590.449	0.328	NaN	0.328	0.328
12574.224	0.369	NaN	0.369	0.332
12586.204	0.292	NaN	0.292	0.329
12587.769	0.329	NaN	0.329	0.337
12582.067	0.294	NaN	0.294	0.337
12590.039	0.336	NaN	0.336	0.330
12581.308	0.291	NaN	0.291	0.336
12584.054	0.371	NaN	0.371	0.329
12586.198	0.284	NaN	0.284	0.329
12584.480	0.359	NaN	0.359	0.327
12585.320	0.328	NaN	0.328	0.326
12581.617	0.287	NaN	0.287	0.337
12593.825	0.370	NaN	0.370	0.336
12583.908	0.373	NaN	0.373	0.329
12589.157	0.375	NaN	0.375	0.335
12580.884	0.303	NaN	0.303	0.334
12584.714	0.364	NaN	0.364	0.326
12580.131	0.323	NaN	0.323	0.330
12581.973	0.301	NaN	0.301	0.337
12582.013	0.303	NaN	0.303	0.337
12581.590	0.286	NaN	0.286	0.337
12582.969	0.348	NaN	0.348	0.334
12583.137	0.339	NaN	0.339	0.333
12586.619	0.289	NaN	0.289	0.332
12576.409	0.294	NaN	0.294	0.335
12578.117	0.364	NaN	0.364	0.327
12585.902	0.311	NaN	0.311	0.328
12588.108	0.338	NaN	0.338	0.337
12586.698	0.296	NaN	0.296	0.332
12578.245	0.358	NaN	0.358	0.327
12579.835	0.329	NaN	0.329	0.329
12584.342	0.373	NaN	0.373	0.327
12580.238	0.306	NaN	0.306	0.331
12586.974	0.308	NaN	0.308	0.333
12583.001	0.347	NaN	0.347	0.334
12585.760	0.316	NaN	0.316	0.327
12584.168	0.373	NaN	0.373	0.328
12585.075	0.339	NaN	0.339	0.326
12582.295	0.304	NaN	0.304	0.337
12586.442	0.292	NaN	0.292	0.331
12586.973	0.294	NaN	0.294	0.333
12587.065	0.297	NaN	0.297	0.334
12593.502	0.342	NaN	0.342	0.335
12577.764	0.338	NaN	0.338	0.329
12581.869	0.303	NaN	0.303	0.337
12588.579	0.362	NaN	0.362	0.337
12582.318	0.301	NaN	0.301	0.337
12580.879	0.305	NaN	0.305	0.334
12589.165	0.372	NaN	0.372	0.335
12577.651	0.318	NaN	0.318	0.329
12582.361	0.317	NaN	0.317	0.337
12577.603	0.314	NaN	0.314	0.329
12585.342	0.321	NaN	0.321	0.326
12583.005	0.344	NaN	0.344	0.334
12590.487	0.308	NaN	0.308	0.328
12576.063	0.298	NaN	0.298	0.337
12578.532	0.375	NaN	0.375	0.326
12582.592	0.315	NaN	0.315	0.336
12586.261	0.291	NaN	0.291	0.330
12589.969	0.356	NaN	0.356	0.330
12578.825	0.376	NaN	0.376	0.326
12582.668	0.347	NaN	0.347	0.336
12584.300	0.373	NaN	0.373	0.328
12584.348	0.377	NaN	0.377	0.327
12582.648	0.311	NaN	0.311	0.336
12584.604	0.370	NaN	0.370	0.327
12585.597	0.326	NaN	0.326	0.327
12582.712	0.321	NaN	0.321	0.335
12591.618	0.291	NaN	0.291	0.326
12581.474	0.290	NaN	0.290	0.337
12584.000	0.375	NaN	0.375	0.329
12577.492	0.319	NaN	0.319	0.330
12582.541	0.331	NaN	0.331	0.336
12586.093	0.301	NaN	0.301	0.329
12580.420	0.323	NaN	0.323	0.332
12582.309	0.320	NaN	0.320	0.337
12580.684	0.299	NaN	0.299	0.333
12587.706	0.316	NaN	0.316	0.336
12585.451	0.344	NaN	0.344	0.327
12586.716	0.288	NaN	0.288	0.332
12580.726	0.312	NaN	0.312	0.334
12583.775	0.371	NaN	0.371	0.330
12579.512	0.356	NaN	0.356	0.328
12582.026	0.307	NaN	0.307	0.337
12581.274	0.292	NaN	0.292	0.336
12586.741	0.289	NaN	0.289	0.332
12590.849	0.305	NaN	0.305	0.327
12587.303	0.313	NaN	0.313	0.335
12585.936	0.308	NaN	0.308	0.328
12588.452	0.360	NaN	0.360	0.337
12584.241	0.376	NaN	0.376	0.328
12583.498	0.363	NaN	0.363	0.331
12573.582	0.364	NaN	0.364	0.329
12573.733	0.351	NaN	0.351	0.330
12583.315	0.355	NaN	0.355	0.332
12584.898	0.363	NaN	0.363	0.326
12577.604	0.329	NaN	0.329	0.329
12586.009	0.297	NaN	0.297	0.328
12578.747	0.362	NaN	0.362	0.326
12590.982	0.295	NaN	0.295	0.326
12572.066	0.297	NaN	0.297	0.327
12583.994	0.371	NaN	0.371	0.329
12576.626	0.296	NaN	0.296	0.335
12580.252	0.325	NaN	0.325	0.331
12578.572	0.364	NaN	0.364	0.326
12577.569	0.327	NaN	0.327	0.330
12591.561	0.290	NaN	0.290	0.326
12587.131	0.301	NaN	0.301	0.334
12580.941	0.309	NaN	0.309	0.335
12581.051	0.291	NaN	0.291	0.335
12585.206	0.344	NaN	0.344	0.326
12588.380	0.355	NaN	0.355	0.337
12578.438	0.370	NaN	0.370	0.326
12589.096	0.375	NaN	0.375	0.335
12581.752	0.290	NaN	0.290	0.337
12585.899	0.301	NaN	0.301	0.328
12576.707	0.304	NaN	0.304	0.334
12578.520	0.365	NaN	0.365	0.326
12582.324	0.298	NaN	0.298	0.337
12580.403	0.331	NaN	0.331	0.332
12578.693	0.364	NaN	0.364	0.326
12583.466	0.349	NaN	0.349	0.332
12585.109	0.345	NaN	0.345	0.326
12580.281	0.319	NaN	0.319	0.331
12590.702	0.324	NaN	0.324	0.327
12584.543	0.368	NaN	0.368	0.327
12587.465	0.311	NaN	0.311	0.336
12585.889	0.299	NaN	0.299	0.328
12576.486	0.290	NaN	0.290	0.335
12584.293	0.374	NaN	0.374	0.328
12585.409	0.324	NaN	0.324	0.326
12575.453	0.312	NaN	0.312	0.337
12581.564	0.289	NaN	0.289	0.337
12590.742	0.310	NaN	0.310	0.327
12581.453	0.287	NaN	0.287	0.336
12575.868	0.300	NaN	0.300	0.337
12580.340	0.330	NaN	0.330	0.332
12584.956	0.346	NaN	0.346	0.326
12575.637	0.313	NaN	0.313	0.337
12583.376	0.351	NaN	0.351	0.332
12578.112	0.330	NaN	0.330	0.327
12579.112	0.370	NaN	0.370	0.326
12580.096	0.339	NaN	0.339	0.330
12587.828	0.330	NaN	0.330	0.337
12581.130	0.292	NaN	0.292	0.335
12585.901	0.295	NaN	0.295	0.328
12582.820	0.334	NaN	0.334	0.335
12586.682	0.292	NaN	0.292	0.332
12586.512	0.291	NaN	0.291	0.331
12580.215	0.330	NaN	0.330	0.331
12582.262	0.314	NaN	0.314	0.337
12582.630	0.318	NaN	0.318	0.336
12585.575	0.327	NaN	0.327	0.327
12578.177	0.364	NaN	0.364	0.327
12582.196	0.321	NaN	0.321	0.337
12580.536	0.322	NaN	0.322	0.333
12584.260	0.367	NaN	0.367	0.328
12586.078	0.293	NaN	0.293	0.329
12587.330	0.314	NaN	0.314	0.335
12591.892	0.292	NaN	0.292	0.327
12587.149	0.294	NaN	0.294	0.334
12584.993	0.358	NaN	0.358	0.326
12582.098	0.289	NaN	0.289	0.337
12583.156	0.345	NaN	0.345	0.333
12584.473	0.349	NaN	0.349	0.327
12583.012	0.338	NaN	0.338	0.334
12584.971	0.351	NaN	0.351	0.326
12593.675	0.372	NaN	0.372	0.335
12583.509	0.371	NaN	0.371	0.331
12581.616	0.291	NaN	0.291	0.337
12583.308	0.348	NaN	0.348	0.333
12586.762	0.292	NaN	0.292	0.332
12604.125	0.363	NaN	0.363	0.326
12587.081	0.292	NaN	0.292	0.334
12584.204	0.362	NaN	0.362	0.328
12574.746	0.332	NaN	0.332	0.335
12585.462	0.316	NaN	0.316	0.327
12580.061	0.337	NaN	0.337	0.330
12586.592	0.298	NaN	0.298	0.331
12602.078	0.300	NaN	0.300	0.333
12589.257	0.368	NaN	0.368	0.334
12577.529	0.324	NaN	0.324	0.330
12581.688	0.294	NaN	0.294	0.337
12589.645	0.356	NaN	0.356	0.332
12584.010	0.371	NaN	0.371	0.329
12572.846	0.351	NaN	0.351	0.326
12570.042	0.332	NaN	0.332	0.336
12580.095	0.330	NaN	0.330	0.330
12588.413	0.373	NaN	0.373	0.337
12574.022	0.372	NaN	0.372	0.331
12583.341	0.375	NaN	0.375	0.332
12584.223	0.376	NaN	0.376	0.328
12580.650	0.310	NaN	0.310	0.333
12588.339	0.357	NaN	0.357	0.337
12573.377	0.364	NaN	0.364	0.328
12582.877	0.330	NaN	0.330	0.335
12592.604	0.303	NaN	0.303	0.330
12581.593	0.291	NaN	0.291	0.337
12582.554	0.330	NaN	0.330	0.336
12585.289	0.333	NaN	0.333	0.326
12590.970	0.308	NaN	0.308	0.326
12584.945	0.350	NaN	0.350	0.326
12564.470	0.356	NaN	0.356	0.332
12583.760	0.369	NaN	0.369	0.330
12577.268	0.326	NaN	0.326	0.331
12591.563	0.290	NaN	0.290	0.326
12579.875	0.332	NaN	0.332	0.329
12582.444	0.324	NaN	0.324	0.336
12584.150	0.371	NaN	0.371	0.328
12583.750	0.369	NaN	0.369	0.330
12589.167	0.366	NaN	0.366	0.335
12580.826	0.311	NaN	0.311	0.334
12580.779	0.302	NaN	0.302	0.334
12581.649	0.295	NaN	0.295	0.337
12579.950	0.347	NaN	0.347	0.329
12585.099	0.337	NaN	0.337	0.326
12582.937	0.321	NaN	0.321	0.334
12582.397	0.308	NaN	0.308	0.336
12591.102	0.293	NaN	0.293	0.326
12581.956	0.295	NaN	0.295	0.337
12578.996	0.371	NaN	0.371	0.326
12585.978	0.290	NaN	0.290	0.328
12587.017	0.301	NaN	0.301	0.334
12579.077	0.358	NaN	0.358	0.326
12583.784	0.361	NaN	0.361	0.330
12585.705	0.317	NaN	0.317	0.327
12586.144	0.293	NaN	0.293	0.329
12584.540	0.354	NaN	0.354	0.327
12582.937	0.339	NaN	0.339	0.334
12579.123	0.363	NaN	0.363	0.326
12583.761	0.369	NaN	0.369	0.330
12587.579	0.315	NaN	0.315	0.336
12580.995	0.295	NaN	0.295	0.335
12586.785	0.296	NaN	0.296	0.332
12587.625	0.323	NaN	0.323	0.336
12593.629	0.362	NaN	0.362	0.335
12584.175	0.372	NaN	0.372	0.328
12584.728	0.357	NaN	0.357	0.326
12592.398	0.300	NaN	0.300	0.329
12579.360	0.365	NaN	0.365	0.327
12581.195	0.293	NaN	0.293	0.336
12581.445	0.290	NaN	0.290	0.336
12587.417	0.321	NaN	0.321	0.335
12581.307	0.287	NaN	0.287	0.336
12581.816	0.293	NaN	0.293	0.337
12583.672	0.364	NaN	0.364	0.331
12588.160	0.332	NaN	0.332	0.337
12581.741	0.291	NaN	0.291	0.337
12585.021	0.345	NaN	0.345	0.326
12584.974	0.344	NaN	0.344	0.326
12585.310	0.321	NaN	0.321	0.326
12584.754	0.341	NaN	0.341	0.326
12582.364	0.309	NaN	0.309	0.337
12587.996	0.328	NaN	0.328	0.337
12578.794	0.371	NaN	0.371	0.326
12582.837	0.341	NaN	0.341	0.335
12583.591	0.366	NaN	0.366	0.331
12588.053	0.357	NaN	0.357	0.337
12577.771	0.344	NaN	0.344	0.329
12581.186	0.295	NaN	0.295	0.336
12586.038	0.294	NaN	0.294	0.329
12584.922	0.336	NaN	0.336	0.326
12585.776	0.293	NaN	0.293	0.327
12589.011	0.370	NaN	0.370	0.335
12578.168	0.359	NaN	0.359	0.327
12594.580	0.356	NaN	0.356	0.337
12583.805	0.365	NaN	0.365	0.330
12584.886	0.340	NaN	0.340	0.326
12584.808	0.337	NaN	0.337	0.326
12584.210	0.366	NaN	0.366	0.328
12580.647	0.312	NaN	0.312	0.333
12584.158	0.362	NaN	0.362	0.328
12580.266	0.326	NaN	0.326	0.331
12579.104	0.367	NaN	0.367	0.326
12581.070	0.302	NaN	0.302	0.335
12584.023	0.362	NaN	0.362	0.329
12582.992	0.320	NaN	0.320	0.334
12589.550	0.363	NaN	0.363	0.333
12582.482	0.314	NaN	0.314	0.336
12578.128	0.362	NaN	0.362	0.327
12577.497	0.333	NaN	0.333	0.330
12585.873	0.295	NaN	0.295	0.328
12583.586	0.363	NaN	0.363	0.331
12584.959	0.346	NaN	0.346	0.326
12580.527	0.302	NaN	0.302	0.333
12583.517	0.361	NaN	0.361	0.331
12587.332	0.312	NaN	0.312	0.335
12579.908	0.351	NaN	0.351	0.329
12577.672	0.342	NaN	0.342	0.329
12584.805	0.344	NaN	0.344	0.326
12583.642	0.359	NaN	0.359	0.331
12596.927	0.288	NaN	0.288	0.327
12583.592	0.377	NaN	0.377	0.331
12585.819	0.306	NaN	0.306	0.328
12585.990	0.304	NaN	0.304	0.328
12586.685	0.291	NaN	0.291	0.332
12583.269	0.359	NaN	0.359	0.333
12577.960	0.356	NaN	0.356	0.328
12588.293	0.351	NaN	0.351	0.337
12583.546	0.367	NaN	0.367	0.331
12583.163	0.331	NaN	0.331	0.333
12589.720	0.340	NaN	0.340	0.332
12581.400	0.287	NaN	0.287	0.336
12578.114	0.343	NaN	0.343	0.327
12578.731	0.370	NaN	0.370	0.326
12576.584	0.288	NaN	0.288	0.335
12577.137	0.302	NaN	0.302	0.332
12585.106	0.329	NaN	0.329	0.326
12583.552	0.366	NaN	0.366	0.331
12584.707	0.358	NaN	0.358	0.326
12592.642	0.313	NaN	0.313	0.330
12585.852	0.309	NaN	0.309	0.328
12586.795	0.289	NaN	0.289	0.332
12578.279	0.365	NaN	0.365	0.327
12580.560	0.323	NaN	0.323	0.333
12580.914	0.293	NaN	0.293	0.335
12590.237	0.331	NaN	0.331	0.329
12592.219	0.296	NaN	0.296	0.328
12586.154	0.293	NaN	0.293	0.329
12574.938	0.342	NaN	0.342	0.336
12582.473	0.341	NaN	0.341	0.336
12588.971	0.368	NaN	0.368	0.335
12585.070	0.332	NaN	0.332	0.326
12591.506	0.297	NaN	0.297	0.326
12588.039	0.333	NaN	0.333	0.337
12572.529	0.338	NaN	0.338	0.326
12582.608	0.322	NaN	0.322	0.336
12589.806	0.354	NaN	0.354	0.331
12573.880	0.364	NaN	0.364	0.331
12581.370	0.288	NaN	0.288	0.336
12584.390	0.364	NaN	0.364	0.327
12590.590	0.306	NaN	0.306	0.328
12580.260	0.318	NaN	0.318	0.331
12584.708	0.349	NaN	0.349	0.326
12577.500	0.308	NaN	0.308	0.330
12587.524	0.330	NaN	0.330	0.336
12579.404	0.342	NaN	0.342	0.327
12582.051	0.293	NaN	0.293	0.337
12590.477	0.316	NaN	0.316	0.328
12580.418	0.311	NaN	0.311	0.332
12583.681	0.364	NaN	0.364	0.331
12577.778	0.330	NaN	0.330	0.329
12582.951	0.336	NaN	0.336	0.334
12588.092	0.330	NaN	0.330	0.337
12580.023	0.334	NaN	0.334	0.330
12586.320	0.290	NaN	0.290	0.330
12585.853	0.297	NaN	0.297	0.328
12576.252	0.289	NaN	0.289	0.336
12591.083	0.302	NaN	0.302	0.326
12595.770	0.318	NaN	0.318	0.333
12585.187	0.322	NaN	0.322	0.326
12588.478	0.362	NaN	0.362	0.337
12586.616	0.292	NaN	0.292	0.332
12582.462	0.323	NaN	0.323	0.336
12586.335	0.294	NaN	0.294	0.330
12582.672	0.324	NaN	0.324	0.336
12582.171	0.308	NaN	0.308	0.337
12580.920	0.292	NaN	0.292	0.335
12584.444	0.369	NaN	0.369	0.327
12587.876	0.327	NaN	0.327	0.337
12585.508	0.320	NaN	0.320	0.327
12591.686	0.290	NaN	0.290	0.326
12585.230	0.330	NaN	0.330	0.326
12578.864	0.366	NaN	0.366	0.326
12585.450	0.316	NaN	0.316	0.327
12579.555	0.363	NaN	0.363	0.328
12582.734	0.315	NaN	0.315	0.335
12580.910	0.309	NaN	0.309	0.335
12579.822	0.341	NaN	0.341	0.329
12586.121	0.288	NaN	0.288	0.329
12590.815	0.294	NaN	0.294	0.327
12580.767	0.303	NaN	0.303	0.334
12590.340	0.315	NaN	0.315	0.329
12595.682	0.320	NaN	0.320	0.334
12585.595	0.322	NaN	0.322	0.327
12585.742	0.309	NaN	0.309	0.327
12574.424	0.359	NaN	0.359	0.334
12585.557	0.309	NaN	0.309	0.327
12585.149	0.320	NaN	0.320	0.326
12584.667	0.346	NaN	0.346	0.326
12570.370	0.296	NaN	0.296	0.334
12583.009	0.343	NaN	0.343	0.334
12583.810	0.365	NaN	0.365	0.330
12586.670	0.288	NaN	0.288	0.332
12582.046	0.300	NaN	0.300	0.337
12578.985	0.367	NaN	0.367	0.326
12583.105	0.344	NaN	0.344	0.334
12576.398	0.298	NaN	0.298	0.336
12583.758	0.365	NaN	0.365	0.330
12593.568	0.345	NaN	0.345	0.335
12593.504	0.365	NaN	0.365	0.335
12588.338	0.356	NaN	0.356	0.337
12584.436	0.364	NaN	0.364	0.327
12580.480	0.314	NaN	0.314	0.332
12582.282	0.334	NaN	0.334	0.337
12585.940	0.311	NaN	0.311	0.328
12581.865	0.295	NaN	0.295	0.337
12577.413	0.325	NaN	0.325	0.330
12584.469	0.362	NaN	0.362	0.327
12575.965	0.290	NaN	0.290	0.337
12589.071	0.369	NaN	0.369	0.335
12580.006	0.343	NaN	0.343	0.330
12581.272	0.291	NaN	0.291	0.336
12588.004	0.329	NaN	0.329	0.337
12585.241	0.325	NaN	0.325	0.326
12595.418	0.331	NaN	0.331	0.335
12584.041	0.365	NaN	0.365	0.329
12581.306	0.292	NaN	0.292	0.336
12571.198	0.289	NaN	0.289	0.330
12584.609	0.338	NaN	0.338	0.327
12584.887	0.357	NaN	0.357	0.326
12583.069	0.330	NaN	0.330	0.334
12581.842	0.300	NaN	0.300	0.337
12580.621	0.305	NaN	0.305	0.333
12582.067	0.297	NaN	0.297	0.337
12581.286	0.291	NaN	0.291	0.336
12583.965	0.362	NaN	0.362	0.329
12585.514	0.312	NaN	0.312	0.327
12582.701	0.330	NaN	0.330	0.335
12579.930	0.327	NaN	0.327	0.329
12585.703	0.310	NaN	0.310	0.327
12583.720	0.367	NaN	0.367	0.330
12590.720	0.310	NaN	0.310	0.327
12588.871	0.368	NaN	0.368	0.336
12586.355	0.288	NaN	0.288	0.330
12579.677	0.357	NaN	0.357	0.328
12586.008	0.296	NaN	0.296	0.328
12590.188	0.340	NaN	0.340	0.329
12580.755	0.305	NaN	0.305	0.334
12583.675	0.360	NaN	0.360	0.331
12576.799	0.301	NaN	0.301	0.334
12579.207	0.364	NaN	0.364	0.327
12585.064	0.336	NaN	0.336	0.326
12579.764	0.348	NaN	0.348	0.329
12587.964	0.328	NaN	0.328	0.337
12584.239	0.368	NaN	0.368	0.328
12585.961	0.299	NaN	0.299	0.328
12585.423	0.321	NaN	0.321	0.326
12580.068	0.333	NaN	0.333	0.330
12587.023	0.296	NaN	0.296	0.334
12585.813	0.301	NaN	0.301	0.328
12583.859	0.369	NaN	0.369	0.330
12580.669	0.317	NaN	0.317	0.333
12581.507	0.295	NaN	0.295	0.337
12585.885	0.302	NaN	0.302	0.328
12588.644	0.360	NaN	0.360	0.337
12579.088	0.367	NaN	0.367	0.326
12592.136	0.295	NaN	0.295	0.328
12593.999	0.368	NaN	0.368	0.336
12585.580	0.307	NaN	0.307	0.327
12588.237	0.358	NaN	0.358	0.337
12587.716	0.334	NaN	0.334	0.336
12584.847	0.337	NaN	0.337	0.326
12573.922	0.358	NaN	0.358	0.331
12585.579	0.311	NaN	0.311	0.327
12578.828	0.368	NaN	0.368	0.326
12582.582	0.314	NaN	0.314	0.336
12589.339	0.365	NaN	0.365	0.334
12581.256	0.293	NaN	0.293	0.336
12576.141	0.292	NaN	0.292	0.336
12584.327	0.356	NaN	0.356	0.327
12586.086	0.294	NaN	0.294	0.329
12588.818	0.357	NaN	0.357	0.336
12577.806	0.351	NaN	0.351	0.328
12581.086	0.302	NaN	0.302	0.335
12587.826	0.339	NaN	0.339	0.337
12579.017	0.362	NaN	0.362	0.326
12576.620	0.297	NaN	0.297	0.335
12582.572	0.304	NaN	0.304	0.336
12581.632	0.291	NaN	0.291	0.337
12587.702	0.330	NaN	0.330	0.336
12574.714	0.344	NaN	0.344	0.335
12588.323	0.356	NaN	0.356	0.337
12590.170	0.329	NaN	0.329	0.329
12582.046	0.307	NaN	0.307	0.337
12584.284	0.367	NaN	0.367	0.328
12582.107	0.293	NaN	0.293	0.337
12583.461	0.363	NaN	0.363	0.332
12575.184	0.324	NaN	0.324	0.337
12582.296	0.303	NaN	0.303	0.337
12586.411	0.297	NaN	0.297	0.330
12581.529	0.289	NaN	0.289	0.337
12580.885	0.296	NaN	0.296	0.334
12579.033	0.362	NaN	0.362	0.326
12587.521	0.309	NaN	0.309	0.336
12585.488	0.316	NaN	0.316	0.327
12584.581	0.363	NaN	0.363	0.327
12583.693	0.368	NaN	0.368	0.330
12588.027	0.353	NaN	0.353	0.337
12587.303	0.305	NaN	0.305	0.335
12592.937	0.326	NaN	0.326	0.332
12589.077	0.361	NaN	0.361	0.335
12583.103	0.347	NaN	0.347	0.334
12578.100	0.355	NaN	0.355	0.327
